timestamp,power_usage_mW
1724657283996,44224
1724657315117,119066
1724657345331,126075
1724657376451,178057
1724657407602,157532
1724657438719,218771
1724657469843,149493
1724657500964,178691
1724657532097,161012
1724657563214,214545
1724657594330,182787
1724657625450,163657
1724657656566,237218
1724657687698,178739
1724657718817,180923
1724657749934,207925
1724657781050,206252
1724657812172,149915
1724657843289,240123
1724657874408,194276
1724657905530,198776
1724657936649,229575
1724657967769,229575
1724657998887,194930
1724658030013,203676
1724658061136,227237
1724658092279,145477
1724658123419,171443
1724658154538,167587
1724658185678,157689
1724658216817,129084
1724658247932,177363
1724658279048,178463
1724658310167,196493
1724658341284,193418
1724658372402,208547
1724658403524,204565
1724658434647,206693
1724658465770,205108
1724658496887,206205
1724658528009,187875
1724658559125,195027
1724658590246,209351
1724658621363,174602
1724658652485,194168
1724658683600,209067
1724658714727,202222
1724658745845,158791
1724658776964,207767
1724658808089,178260
1724658839213,160817
1724658870336,167785
1724658901477,160621
1724658932593,148818
1724658963714,177649
1724658994828,208411
1724659025943,192340
1724659057059,179402
1724659088187,184587
1724659119309,212535
1724659150432,208516
1724659181549,181647
1724659212674,178493
1724659243795,212970
1724659274914,199604
1724659306037,153756
1724659337156,196401
1724659368275,182239
1724659399394,199243
1724659430509,189377
1724659461625,199308
1724659492742,204033
1724659523856,185035
1724659554981,175605
1724659586127,159125
1724659617253,158489
1724659648392,169237
1724659678507,227901
1724659709625,148689
1724659740745,194908
1724659771867,176501
1724659802987,182310
1724659834107,159994
1724659865229,180710
1724659896345,170258
1724659927473,183128
1724659958599,215682
1724659989716,149762
1724660020836,198674
1724660051961,181915
1724660083079,209177
1724660114197,179331
1724660145313,185115
1724660176434,198106
1724660207550,183058
1724660238664,211184
1724660269783,169360
1724660300910,168083
1724660332031,154374
1724660363146,168189
1724660394370,190330
1724660425487,176185
1724660456607,226002
1724660487726,182775
1724660518843,181679
1724660549959,204544
1724660581076,149290
1724660612199,233516
1724660643317,200879
1724660674431,205221
1724660705547,211702
1724660736665,169410
1724660767783,178318
1724660798905,186460
1724660830021,212179
1724660861138,182822
1724660892255,209666
1724660923383,208641
1724660954503,152856
1724660985622,168465
1724661016765,169924
1724661047893,163694
1724661079237,212924
1724661110356,182408
1724661141478,215596
1724661172596,203454
1724661203714,195192
1724661234833,216905
1724661265948,193771
1724661297063,214287
1724661328178,182647
1724661359296,192348
1724661390410,206045
1724661421526,233587
1724661452642,189227
1724661483760,183328
1724661514878,183537
1724661545996,201271
1724661577111,207226
1724661608231,238147
1724661639348,174782
1724661670468,167095
1724661701596,173017
1724661732959,181368
1724661764076,181929
1724661795199,209141
1724661826315,214217
1724661857429,182674
1724661888546,171137
1724661919663,212357
1724661950781,149164
1724661981899,196207
1724662013014,184263
1724662044128,208074
1724662075247,191834
1724662106362,210556
1724662137481,178359
1724662168600,204521
1724662199722,180044
1724662230840,205241
1724662261958,213076
1724662293080,169403
1724662324212,157087
1724662355331,172356
1724662386676,172952
1724662417794,219962
1724662448910,192259
1724662480026,149361
1724662511144,204046
1724662542265,183287
1724662573386,208319
1724662604507,192952
1724662635626,185986
1724662666748,203837
1724662697864,139757
1724662728982,200292
1724662760104,213143
1724662791225,200300
1724662822340,208993
1724662853457,226054
1724662884574,182198
1724662915690,205819
1724662946812,174215
1724662977939,168400
1724663009057,131799
1724663040266,166249
1724663071384,226235
1724663102505,209431
1724663133621,196079
1724663164740,185476
1724663195855,172389
1724663226979,190010
1724663258094,200563
1724663289219,186087
1724663320335,198808
1724663351454,207572
1724663382570,201527
1724663413691,205863
1724663444814,208114
1724663475937,181754
1724663507054,203774
1724663538172,179958
1724663569289,171550
1724663600412,178540
1724663631532,166393
1724663662653,165677
1724663692695,195952
1724663723815,181557
1724663754938,181619
1724663786057,215211
1724663817175,228602
1724663848290,209834
1724663879404,210397
1724663910525,198497
1724663941641,210758
1724663972763,205964
1724664003878,209651
1724664034992,182605
1724664066118,208166
1724664097237,209454
1724664128352,200073
1724664159469,212006
1724664190589,160126
1724664221724,164992
1724664252861,170866
1724664283981,170293
1724664315099,219467
1724664346222,221171
1724664377341,196311
1724664408468,188558
1724664439586,195301
1724664470702,210131
1724664501827,203346
1724664532946,200067
1724664564066,201673
1724664595182,198049
1724664626301,196018
1724664657416,210626
1724664688536,200273
1724664719653,214024
1724664750774,207205
1724664781889,182115
1724664813007,211251
1724664844130,168538
1724664875252,168904
1724664906382,172165
1724664936492,202562
1724664967607,177694
1724664998722,212934
1724665029841,214032
1724665060965,206940
1724665092086,206313
1724665123205,208850
1724665154324,196498
1724665185440,183157
1724665216563,225622
1724665247687,183559
1724665278807,180983
1724665309926,194838
1724665341044,210002
1724665372162,216530
1724665403282,182959
1724665434400,167699
1724665465536,177364
1724665496653,169053
1724665528031,167393
1724665559153,230014
1724665590269,206964
1724665621386,211280
1724665652507,216600
1724665683623,191633
1724665714739,195400
1724665745863,209665
1724665776978,187627
1724665808092,185123
1724665839214,212890
1724665870346,209651
1724665901463,224982
1724665932579,185479
1724665963703,209781
1724665994820,211057
1724666025937,150030
1724666057059,166178
1724666088197,169241
1724666119314,194885
1724666150429,182163
1724666181548,200878
1724666212662,208046
1724666243776,209259
1724666274894,204585
1724666306011,208774
1724666337130,199342
1724666368253,204483
1724666399373,208170
1724666430495,212098
1724666461613,198314
1724666492733,209726
1724666523853,212502
1724666554972,208781
1724666586089,210365
1724666617216,183637
1724666648334,179072
1724666679455,170719
1724666709528,237894
1724666740654,211835
1724666771770,198989
1724666802887,188801
1724666834006,196291
1724666865120,206320
1724666896237,204323
1724666927356,213043
1724666958474,205217
1724666989590,204798
1724667020712,223440
1724667051831,208617
1724667082948,210466
1724667114064,233547
1724667145180,213165
1724667176298,213036
1724667207418,170444
1724667238534,170359
1724667269657,160694
1724667300833,210710
1724667331949,194645
1724667363066,204633
1724667394183,200577
1724667425302,182856
1724667456420,213103
1724667487536,207778
1724667518652,213760
1724667549781,215565
1724667580898,205022
1724667612017,206298
1724667643134,177429
1724667674249,220549
1724667705369,217639
1724667736486,211121
1724667767604,199498
1724667798728,164934
1724667829845,170643
1724667860965,169621
1724667890970,209136
1724667922086,177365
1724667953211,213222
1724667984326,206799
1724668015441,206543
1724668046561,203418
1724668077680,216506
1724668108799,203187
1724668139922,231516
1724668171047,203516
1724668202171,207519
1724668233288,198528
1724668264407,214606
1724668295527,190011
1724668326645,207406
1724668357768,159233
1724668388892,172244
1724668420009,178104
1724668451138,179163
1724668482258,202369
1724668513375,219459
1724668544496,217018
1724668575612,175188
1724668606737,209947
1724668637854,212837
1724668668973,210035
1724668700090,214344
1724668731215,217088
1724668762335,186084
1724668793451,228632
1724668824565,207478
1724668855684,183739
1724668886809,208488
1724668917930,181162
1724668949052,170955
1724668980170,169352
1724669010249,220350
1724669041365,197850
1724669072486,206110
1724669103606,216794
1724669134731,210042
1724669165855,170399
1724669196970,211664
1724669228094,229395
1724669259225,210753
1724669290349,207377
1724669321469,213317
1724669352588,184274
1724669383706,194065
1724669414826,206258
1724669445950,203678
1724669477071,172124
1724669508189,169678
1724669539318,159679
1724669570599,188421
1724669601720,207822
1724669632836,231984
1724669663950,215907
1724669695063,205633
1724669726188,194554
1724669757305,210380
1724669788420,212301
1724669819550,181258
1724669850672,190692
1724669881788,188023
1724669912918,207782
1724669944040,211698
1724669975159,178852
1724670006277,196568
1724670037398,174648
1724670068518,160306
1724670099635,170600
1724670130781,187705
1724670161899,227941
1724670193024,213195
1724670224154,189310
1724670255277,214210
1724670286393,205367
1724670317508,182317
1724670348624,150831
1724670379744,205096
1724670410862,207349
1724670441980,215864
1724670473099,238728
1724670504223,221413
1724670535339,195703
1724670566457,235432
1724670597585,171284
1724670628708,171240
1724670659831,170784
1724670691001,209640
1724670722116,206763
1724670753233,199681
1724670784351,202735
1724670815469,181439
1724670846587,185881
1724670877708,208354
1724670908823,215644
1724670939948,225009
1724670971067,179985
1724671002185,203575
1724671033303,214752
1724671064418,210876
1724671095533,206202
1724671126652,218077
1724671157775,161195
1724671188895,148655
1724671220016,179951
1724671251417,193868
1724671282534,182392
1724671313660,207781
1724671344777,212468
1724671375896,186856
1724671407014,209468
1724671438133,212788
1724671469250,214919
1724671500366,206023
1724671531484,214548
1724671562602,205882
1724671593720,184204
1724671624837,184128
1724671655952,223611
1724671687071,211400
1724671718192,166517
1724671749322,182088
1724671780452,177278
1724671811832,207991
1724671842948,209426
1724671874066,212874
1724671905182,211162
1724671936301,213641
1724671967423,195495
1724671998540,221020
1724672029657,213266
1724672060776,212598
1724672091896,213791
1724672123012,196270
1724672154130,212472
1724672185246,197756
1724672216363,193534
1724672247480,182196
1724672278604,163252
1724672309729,176679
1724672339785,205812
1724672370900,207392
1724672402015,211603
1724672433131,241242
1724672464280,196211
1724672495396,172479
