timestamp,power_usage_mW
1733650087408,14037
1733650118616,237493
1733650149803,125881
1733650181028,128170
1733650212178,128754
1733650243349,219086
1733650274561,130545
1733650305794,143687
1733650337016,151589
1733650368251,140510
1733650399495,142460
1733650430878,154853
1733650462053,131803
1733650493250,131698
1733650524507,131798
1733650555658,152396
1733650586901,148779
1733650618145,155496
1733650649336,148874
1733650680590,139797
1733650711826,159310
1733650743156,154489
1733650774417,131415
1733650805706,152102
1733650836955,202607
1733650868222,131734
1733650898811,157885
1733650930211,145496
1733650961560,154231
1733650992770,211719
1733651024129,231222
1733651055394,155081
1733651086741,151504
1733651118026,135164
1733651149225,150839
1733651180467,227630
1733651211783,155282
1733651243078,232936
1733651274475,236487
1733651305743,206961
1733651336935,152848
1733651368153,155531
1733651399379,193197
1733651430693,152761
1733651461862,252769
1733651493236,217229
1733651524514,155671
1733651555726,155772
1733651586895,196879
1733651618030,326427
1733651649232,149396
1733651680383,147375
1733651711544,157398
1733651742692,342206
1733651773909,136512
1733651805142,132744
1733651836306,155555
1733651867444,156460
1733651898607,343589
1733651929739,342916
1733651960943,343474
1733651992171,344527
1733652023317,139754
1733652054598,344375
1733652085806,146114
1733652116961,318613
1733652148178,155889
1733652179318,272827
1733652210462,343961
1733652241711,157408
1733652273052,229248
1733652304261,206504
1733652335452,175749
1733652366707,228963
1733652398028,152216
1733652429287,154547
1733652460612,232536
1733652491863,155323
1733652521872,150814
1733652553220,200613
1733652584471,257214
1733652615829,157370
1733652647137,153853
1733652678351,188099
1733652709631,153856
1733652740973,243595
1733652772152,160597
1733652803481,197816
1733652834812,231194
1733652866029,223916
1733652897270,175379
1733652928640,152564
1733652960007,145777
1733652991254,221925
1733653022696,237601
1733653054064,155265
1733653085295,202527
1733653116702,157925
1733653147965,241622
1733653179315,222056
1733653210630,209923
1733653242014,155453
1733653273243,251666
1733653304508,155367
1733653335827,239327
1733653366978,142352
1733653398231,157783
1733653429425,170510
1733653460584,343658
1733653491759,157081
1733653522978,343784
1733653554244,343140
1733653585438,135818
1733653616670,197511
1733653647884,132955
1733653679035,343527
1733653710184,246630
1733653741422,201992
1733653772638,342763
1733653803877,281760
1733653835089,343365
1733653866262,343402
1733653897441,344606
1733653928650,234052
1733653958696,141816
1733653990027,255621
1733654021241,211388
1733654051308,213648
1733654082553,151842
1733654113921,170021
1733654145204,148365
1733654176550,210456
1733654207822,158334
1733654239053,150308
1733654270423,155139
1733654301644,155679
1733654332894,152692
1733654363118,241384
1733654394403,155286
1733654425717,176712
1733654457034,198771
1733654488436,239172
1733654519775,171098
1733654551033,156001
1733654582404,186643
1733654613703,159701
1733654644983,158408
1733654676299,178907
1733654707634,152792
1733654738974,156834
1733654770255,155798
1733654801701,158528
1733654832947,156299
1733654864213,155998
1733654895536,203176
1733654926791,195867
1733654958074,181365
1733654989364,140771
1733655020649,345435
1733655051876,345372
1733655083049,304026
1733655114179,344284
1733655145362,344648
1733655176679,133149
1733655207829,322237
1733655239035,207304
1733655270220,342202
1733655301347,133298
1733655332583,344789
1733655363757,156388
1733655394956,343965
1733655426077,179197
1733655457287,133084
1733655488481,252099
1733655519623,162869
1733655550915,211160
1733655582120,132992
1733655613277,151669
1733655644500,291252
1733655675728,344609
1733655705856,160466
1733655737188,239455
1733655768618,157640
1733655799834,153636
1733655831192,139394
1733655862565,153773
1733655892569,149547
1733655923949,249035
1733655953962,220883
1733655985333,159451
1733656016572,156417
1733656047876,210270
1733656077946,148573
1733656109186,238241
1733656140556,173210
1733656171829,150863
1733656203218,183437
